身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
口渴	胃阴虚呕吐 肺胃热盛咽喉白腐 湿热熏蒸夭疱疮 阴虚火旺口渴 相火偏旺性早熟 风热外袭恶风 毒热炽盛蝶形红斑 湿热发黄 心脾积热啮齿 热实结胸心中懊侬 胃热炽盛消瘦 暑湿袭表恶寒发热 肺胃火热颈间生疮 痰湿上逆头目胀痛 血热风煉脱屑 风湿热痹阻蝶形红斑 风邪外袭红斑 肝火犯胃头目胀痛 肾阴亏虚消渴 肝郁化火妊娠消渴 毒热浸淫粟疹 风热牙龈肿痛 血热崩中 表寒里热无汗 营卫壅闭黄汗 肺肾阴虚咽肿 外邪客宵呕吐 心火炽盛胬肉 气分邪热风疼 风热犯肺白睛溢血 热毒壅闭咽肿 胃火口唇红肿 风热犯齿牙痛 胃热妊娠呕吐 毒邪浸淫萎缩 痰热惊风 热炽气分口渴 热毒攻心谵语 肝胆郁热瞳神干缺 风热妊娠头痛 水饮内停大便溏 暑伤肺胃夏季热 肺燥津亏口渴 实热费积胚周痈肿 心脾积热口疮 阳明病胃肠燥热心烦 肺热咳痰 阳明经壮热 下焦湿热尿痛 阳盛实热舌红绛 暑湿咳嗽 风热壅肺鼻痠 肺胃津亏瘫痪 暑热伤气但热不寒 风热壅肺鼻痛 心火亢盛妊娠尿血 湿热瑰结腹满 胃火燔龈齿衄 暑伤肺胃消渴 热入营血口渴 心脾实热弄舌 阳明热织角弓反张 心火炽盛心烦 热毒蕴结足热 暑热惊风 胃肠湿热蛔虫扰动症 或食脾胃损伤疳积 热毒内陷营血鼻肿 褒血阻滞梦游 热痞 下焦湿热产后小便淋痈 肠道湿热少腹痛 风火熏迫大扬便血 血热动血汗血 肝火上炎头胀 外感风热经行发热 暑耗肺胄气阴疲乏 痰火扰心小儿多动 血热白庀 瘟毒发黄 余毒流注鼠溪肿痛 湿热里急后重 胃火燔龈牙痛 脾阴虚口唇红肿 湿热壅滞舌苔黄 风热上扰耳内流脓 阴虚津亏产后小便淋痛 火毒凝滞腋窝红肿 风热犯肺喷嚏 毒热蓬结红鼻 阴虚低热 乳积乳房红肿 褒血阻滞脱发 热伤气阴少气 脾胃积热口疮 胃火炽盛鼻衄 热毒炽盛脓疱 虚阳浮越面色红 阳明捬实烦躁 热霍乱转筋 实热便血 表寒郁热烦躁 毒热炽盛天疱疮 胃火血热经行吐衄 心火脾湿夭疱疮 胃阴亏虚妊娠消渴 燥邪伤肺鼻干 风热化火丹毒 湿热蕴蒸口渴 邪热费肺胸闷 胃阴不足食欲不振 痰热藴脾口腻 热盛伤津舌干 膀胱湿热小旗痛 温热时毒颜面红肿 胃实热吐血 大肠热结便难 寒湿中阻腹满 气阴两虚舌光 心火炽盛漏睛 热毒灼营带状疱疹 气滞血瘀单腹胀大 心火炽盛舌纵 阳明实热舌裂 血热郁肤粟疹 肺胃热盛咽肿 心阴虚火旺心烦 肝火上炎面色红 气滞血疲云翳 胃肠实热小便黄赤 火毒乳房红肿 阴虚血热乳头玻裂 风温袭肺鼻煽 外感暑邪发热 胃肠实热舌苔黄 胃热阴伤消渴 热极肢厥手足厥冷 暑湿热郁心烦 睥胃湿热呕吐 湿热壅盛泮肿 邪热壅肺但热不寒 心火上炎口苦 气分热盛烦躁 湿热蘊结脱肛 肺热熏灼舌萎 湿热蕴结四肢肿胀 胃热炽盛口臭 署湿吐泻 血热妄行紫斑 痰饮中阻舌答灰黑 热痰阻肺哮鸣 血热风燥头面瘙痒 外感风温发热 毒热炽盛水痘 暑热伤气潮热 心火炽盛善喜 肺热津伤瘘废 实热腹痛 湿热肛门疼痛 肺胃热盛鼻痛 胃火燔齿牙齿焦黑 血燥筋伤手指挛急 风热鼻塞 胃火炽盛妊娠消渴 血热生风脱发 脾虚津乏舔舌 热毒蕴结膝肿痛 下焦湿热尿浊 湿热阻瘠关节疼痛 湿热阴挺 水饮内停口渴 肺热津伤消渴 燥热伤肺白睛溢血 风热袭肺咽干 肝经郁热妊娠尿血 肺胃热盛乳娥 肺胃蕴热小儿音哑 脏腑实热舌痛 阳明腑实产后大便难 脾宵积热流铤 痰火郁结瞳神散大 阴虚肺燥咳痰 热毒炽盛痄腮 血热崩漏 胃膀血挤吐血 风热壅肺鼻衄 风热犯肺白睛生疳 肺胃热盛妊娠心腹胀满 疫毒内盛咽喉白腐 肺热炽盛壮热 胃火牙銀肿痛 热极或湿热生风四肢抽搐 湿热里结肛门肿胀 风热挟疾颈项痛 燥热伤津目干涩 胃热阴虚齿衄 湿热壅滞粟疼 热邪稍留漏睛 热毒壅聚无名肿毒 热盛动风啮齿 湿热壅滞带状疱疹 疟疾寒战 热毒蕴结尿脓
舌强	风痰阻遏舌强 肝阳化风四肢强直 热入心包舌强 肝阳化风半身不遂 瘀血攻心健忘 痰阻舌麻 金创风毒角弓反张 肝风舌颤 热陷心包神昏
五色带	气郁五色带 虚寒五色带 湿热五色带 阴虚五色带
失嗅	肺脾两虚失嗅 血淤阻肺失嗅 气血两亏失嗅 胆腑郁热失嗅 脾经湿热失嗅 肺经风热失嗅
积滞	过食生冷积滞 脾胃虚弱积滞 肝肾阴虚血灌瞳神 乳食不节积滞
小儿遗尿	肾阳虚弱遗尿 肝经郁热遗尿 脾肺气虚遗尿
汗血	血热动血汗血 气不摄血汗血 阴虚火旺汗血
产后发热	邪毒炽盛产后发热 血瘀产后发热 气虚产后发热 伤食产后发热 风邪犯表产后发热 蒸乳产后发热 血虚产后发热
多梦	肝阳上亢面色红 心胆气虚善惊 肝阴虚阳亢头晕 阴虚火旺尿脓 血不荣润腹筋挛急 心肾阴虚心胸汗出 肝郁血虚四肢抽擄 阴虚火旺吐血 气阴两虚胸痛 血虚面色白 肝热产后乳汁自漏 肝肾阴虚朱砂掌 心肾不交多梦 心脾两虚不寐 心胆气虚多梦 血虚妊娠下放抽筋 水火不济善喜 心火炽盛尿痛 阴虚火旺经行口糜 心脾气虚小儿多动 虚火灼齿牙痛 脾不统血血灌曈神 阴虚火旺烦躁 心阴亏虚小儿心悸 心脾两虚发癫 惊恐伤神心悸 肝肾阴虚经断前后诸症 心脾两虚短气 肺肾阴虚小儿音哑 肝经郁热不寐 气血两虚牙龈蒌缩 心肾不交不寐 心脾两虚脑鸣 血虚舌麻 心脾两虚多梦 肝气郁结小便不通 疲热扰心不寐 心血虚舌不知味 疾气互结反胃 肝血不足耳费 心阴虚火旺心烦 肝阳上扰头晕 痰火扰心妄听妄视 肝阳化风四肢麻木 肝风内动半身麻木 精血亏虚腰背俯偻 阴虚火旺视瞻昏渺 气血失和白斑 心脾气结善忧思 心脾两虚健忘 痰火扰神心下悸 血虚舌颤 肝肾阴虚臁疮 阴虚火旺咳血 血虚神闭痫 精血亏损视瞻昏渺 肝火偏亢月经过多 肝肾阴虚交接出血 肝热阴虚腋汗 火盛白内障 肝阳上亢妊娠头痛 心阴亏虚不寐 肝郁血虚手舞足蹈 阴血亏虚目干涩 心肾不交健忘 肾元亏损耳内流旅 胆热痰扰善疑 营血虚热須发早白 心火炽盛小便黄赤 心脾两虚善疑 肝肾阴虚低热 痰气互结噎膈 心火亢盛不寐 气滞血瘀皮肤肥厚 血虚晕厥 心阴虚心悸 胞宫瘀血经行发热
大便脓血	寒湿大便脓血 阴虚内热大便脓血 胃肠湿热大便胺血 时发时止大便脓血 暑入厥阴大便脓血 下焦虚寒大便脓血 饮食不进大便脓血 感受疫毒大便脓血
小儿丹痧	疫毒侵袭肺胃丹痧 疫毒供灼气营丹痧 肺胃明伤余热丹痧
舌歪	风疲入络流涎 中外风舌歪 中内风舌歪
牙龈蒌缩	肾阴虚牙龈蒌縮 胃火燔龈牙龈蒌缩 气血两虚牙龈蒌缩
皮肤脓疱	热毒炽盛脓疱 湿毒蕴结脓疱 湿热内蕴脓疱 营血郁热脓疱
疲乏	肺气虚少气 脾阳虚产后浮肿 心气亏虚小儿心悸 血虚胎动不安 肾气亏虚胎萎不长 心脾虚弱经行先后无定期 气血两虚胞衣先破 气血两虚妊娠头痛 脾虚湿热鼻臭 气血虚弱闭经 阴虚动风头摇 气血两虚阴道异常出血 气虚血瘀头昏 心脾气虚小儿多动 脾肾拓虚毛发脱落 寒湿中阻腹满 气血两虚难产 气血两虚皮肤风疫 脾不统血血灌曈神 气虚产后乳汁自漏 气血两虚面具脸 脾肾阳虚肥胖 脾气虚白带 腑肾阳虚食欲不振 脾胃气阴两虚口甜 脾虚血亏发黄 阳虚舌边齿痕 血不养筋手指挛急 气血两虚疲乏 肝肾亏虚关节变形 脾不统血红斑 肝气犯胃食欲不振 暑耗肺胄气阴疲乏 气血两虚产后浮肿 脾肺气虚产后大便难 心气虚少气 气血两虚沩胎 气血两虚夜盲 阳气不足头汗 肺肾阴虚咽肿 气不摄血汗血 中气下陷肛门重坠 脾气虚弱夜盲 心气虚心悸 气血两虚胎死不下 脾气虚妊娠小便不通 血两虚过期不产 痰浊上蒙云雾移睛 心脾两虚经前不寐 气血两虚便血 气虚肝热蟹睛 脾胃气虚暧气 脾不统血鼻紐 气虚带环后阴道异常出血 阴虚火旺耳衄 热伤气阴少气 肾阳虚寒咽喉白腐 精血亏损视瞻昏渺 气血两虚妄想 气虚阴挺 气虚恶露不断 血热妄行紫斑 外伤胎动不安 虚寒便血 心脾两虚善疑 气血两虚妄听妄视 气血两虚毛发脱落 外伤胎漏 虚寒肛漏 肾虚火旺耳痒 脾气虚头重 气虚下陷鱼胞 脾虚湿因疲乏
头面瘙痒	虫毒侵袭头面瘙痒 风热上扰头面瘙痒 血热风燥头面瘙痒
舌青	血挤五硬 瘀血内阻噎膈 寒凝阳虚舌青 疲血阻滞舌青 心血挤阻胸痛
轮上赤豆	肺经燥热轮上赤豆 气虚肝热轮上赤豆 肝经火旺轮上赤豆 脾虚兼痰轮上赤豆 肺肝郁热轮上赤豆 阴虚火炎轮上赤豆
口流涎	风疲入络流涎 脾胃积热流涎 疲火扰心善喜 肾虚不摄流涎 脾虚不敛流涎 风中经络流涎
遗尿	肺热津伤消渴 肺脾气虚尿频 阳脱半身不遂 内闭外耽神昏 阴虚阳浮半身不遂 肺气虚寒遗尿 肾阴不足遗尿 肝经郁热遗尿 肾气亏虚尾闾痛 脾肺气虚遗尿 肾阳虚惫夜间多尿 脾虚气陷遗尿 肾阳不足遗尿
经行口糜	阴虚火旺经行口糜 宵热熏蒸经行口廉
白睛生疳	脾胃湿热白睛生疳 心火上乘白睛生疳 风热犯肺白睛生疳 脾胃虚寒白睹生疳
手足脱屑	血虚风燥手足脱屑 虫毒侵袭手足脱屑 风湿蕴肤手足脱屑
四肢拘急	肝血亏虚四肢拘急 寒湿苔结四肢拘急 亡阳液脱四坡拘急 风寒束表四肢拘急 热盛伤津四肢拘急 湿热浸淫四肢拘急 湿热阻滞面具脸
粉刺	湿毒血疲粉刺 毒热粉刺 胃肠积热粉刺 血热扮刺 肺经郁热粉刺
喉中痰鸣	痰火化风喉中痰鸣 痰热闭肺舌苔黄腻 风疲内闭神昏 痰蒙清窍喉中痰鸣 风疲入络口眼呙斜 痰热阻肺喉中痰鸣 痰浊扰心健忘 痰热闭肺鼻煽 风痰阻遏舌强 痰壅气阻喉中痰鸣 痰热内闭半身不遂 肝风痰热小儿抽动 睥肾两虚喉中痰鸣
胎死不下	气血两虚胎死不下 湿阻气滞胎死不下 气滞血瘀胎死不下
不孕	肾阳虚不孕 虚寒赤白带 气血两虚不孕 阴虚血热不孕 肾阳虚面色熏黑 血瘀湿热不孕 肾阳虚畏寒 肝郁气滞不孕 痰湿阻滞不孕
抱轮红	肝胆火炽曈神缩小 脾胃实热抱轮红 肝胆郁热瞳神干缺 肝胆火盛抱轮红 气虚风胜抱轮红 湿热蕴蒸云雾移睛 气滞血瘀瞳神缩小 肝肾阴虚瞳神干缺 肝胆火热血灌瞳神 脾胃积热目畏热
经来驟止	寒邪凝滞经来骤止 热入血室经来骤止 气部结经来骤止 瘀血阻滞经来隳止
乳头破裂	肝郁化火乳头玻裂 阴虚血热乳头玻裂
足跟痛	肝肾亏虚足跟痛 外伤所致足里痛 肾虚腰脊痛 风寒湿阻足跟痛 气血亏虚足跟痛
口噤	寒邪直中口噤 胎毒发寒 血虚产后发痉 阳明热织角弓反张 气郁痰壅口噤 寒湿阻络角弓反张 外伤风毒口噤 血瘀产后眩晕 风寒表证口噤 阴血亏虚口噤 风邪入侵四肤强直 里热壅盛口噤 金创风毒角弓反张 血热风盛角弓反张 湿热阻滞面具脸
皮肤瘙痒	风湿皮肤瘙痒 风盛皮肤瘙痒 风寒皮肤痛痒 风湿蕴肤手足脱屑 血虚皮肤瘙痒 风邪袭表恶风 风热外袭恶风 血虚风燥妊娠瘙痒 肝胆湿热妊娠疫痒 血热皮肤瘙痒
经断前后诸症	肝肾阴虚经断前后诸症 心肾不交经断前后诸症 心脾两虚经断前后诸症 脾肾阳虚经断前后诸症
脐下悸动	肾不纳气脐下悸动 水停下焦脐下悸动 水寒气从少腹上冲
小儿厌食	胃阴亏虚厌食 脾运失健厌食 脾胃气虚厌食
舌卷	热陷心包舌卷 肝经气绝舌卷
白痏	湿热郁阻白痏 津气亏虚白痏
鼻翼煽动	痰热闭肺鼻煽 胂肾两伤务煽 肺热咳痰 津气亏虚白痏 风温袭肺鼻煽
哮鸣	阴虚痰阻哮鸣 阳虚痰阻哮鸣 寒疲阻肺哮鸣 热痰阻肺哮鸣 寒热错杂哮鸣
肌肤麻木	风邪袭络顔面抽描 肝血亏虚四肢拘急 湿邪狙络四肢疼痈 湿胜着痹关节疼痛 气血两虚麻木 瘀血阻滞麻木 痰湿阻滞麻木 风湿疠气麻木
产后小便頻数与失禁	气虚产后小便頻数与失禁 肾阴虚产后小便频数与失禁 肾阳虚产后小便频数与失禁 外伤产后小便频数与失禁
湿疮	湿热壅遏眼睑丹毒 湿热下注湿疮 脾虚湿盛湿疮 血疲风燥湿疮 湿热浸淫湿疮
妊娠下放抽筋	寒凝妊娠下肢抽筋 血虚妊娠下放抽筋
善怒	肝郁气滞善怒 肝胆火旺善怒 肝郁气滞发癫 肝气郁结小便不通 肝火犯胃吐血 脾虚肝乘善怒 肝肾阴虚善怒
头冷	太阳伤寒头冷 督脉虚寒头冷
上环后阴道异常出血	气虚带环后阴道异常出血 阴虚血热带环后阴道异常出血 肝郁血热带环后阴道异常出血
皮肤风疹	风热菹肤皮肤风疹 风寒束表皮肤风疹 血热皮肤风疹 血瘀皮肤风疹 胃肠积热皮肤风疹 气血两虚皮肤风疫
四肢强直	痰热动风四肢强直 湿热阻络四肢强直 阳气虚衰四肢强直 肝阳化风四肢强直 肝肾亏虚四肢强直 血瘀气滞四肢强直 风邪入侵四肤强直 风寒湿阻四肢强直
崩漏	血热崩漏 肾阳虚崩潘 脾不统血舌衄 肾阴虚崩漏 血褒崩漘 脾气虚崩獮
目偏视	风邪中络目偏视 风热上攻目偏视 肝风内动目偏视 痰湿阻络目偏视 禀賦不足目偏视 疲血凝滞目偏视 偏废性目偏视
皮肤白斑	气血失和白斑 暑湿袭表白斑 虫积白斑
小便失禁	肝肾阴虚小便失禁 肾气虚寒小便失禁 膀胱蓄热小便失禁 肺脾气虚小便失禁 风痰上扰啮舌 肾阳虚惫夜间多尿
瞳神缩小	肝胆火炽曈神缩小 气滞血瘀瞳神缩小 风湿夹热瞳神缩小 肝肾阴虚瞳神缩小
头重	肝阳上亢面色红 痰浊上蒙晕厥 痰湿经行头痛 痰湿中阻食后困顿 湿热蕴蒸脑鸣 脾气虚妊娠小便不通 脾经湿热失嗅 湿热妊娠小便不通 酒积湿热反胃 湿热上犯视瞻昏渺 脾虚湿困耳内流脓 风湿犯头头重 寒湿袭表舌苔白 风湿犯表项强 肝风内动口眼呙斜 脾虚痰湿妊娠眩晕 湿热浸淫四肢拘急 脾气虚弱喷嚏 肝胆湿热舌苔黄腻 痰火内扰妊娠心烦 风湿妊娠头痛 脾阳不振小便不利 脾虚肝旺妊娠疫厥 痰火阻肺鼻痠 风湿犯表颈项痛 湿热蕴蒸头重 湿困脾阳嗜睡 脾虚舌胖 脾虚气滞妊娠心旗胀满 肺脾气虚鼻塞 脾胃湿热白睛生疳 痰湿内阻头晕 湿热壅遏眼睑丹毒 脾气虚头重 外感暑邪发热 肝阳上扰头晕
经行身痒	血虚经行搭瘺 血虚经行身痒 风热经行身痒 风寒经行身痒
眼生痰核	痰湿阻滞眼生痰核 痰火郁滞眼生痰核
恶风	风邪中络目偏视 风寒束表咳嗽 风寒袭络半身麻木 误食中毒顔面红肿 风热犯肺气喘 风热外袭头胀 外感风寒发热 气虚产后多汗 风热外袭乳娥 肺经风热鱼胞 风热外袭恶风 风水相搏浮肿 肺气阴两虚气喘 风热犯肺浮肿 风热犯肺鼻痒 寒湿阻滞腿肿痛 风热鼻塞 风寒袭络手颤 风湿犯头头重 风邪外袭口眼呙斜 风寒犯头头痛 卫气亏虚恶风 风寒束表舌苔白 脾气虚弱月经过多 风热喉痒 邪留肺卫低热 外感风邪手舞足蹈 风热袭肺咽干 风邪袭表恶风 风寒羞明 风寒湿侵足颤 肺燥喉痒 营卫不和汗出偏沮 风热鼻流涕 风寒牙痛 风温袭肺鼻煽 外感暑邪发热 风热犯肺白睛溢血 风胜行痹关节疼痛 风热上扰耳内流脓 卫分邪热风疹 风寒束表四肢拘急 外邪干胃呕吐 风热犯肺喷嚏 阴虚肺燥咳痰 营卫不和自汗 风热犯肺耳胀闷 风中经络四肢麻木 风热妊娠咳嗽 风热妊娠头痛 风热声音嘶哑 风寒束表红疹 营卫不和多汗 风热外侵眼皮眺 风热犯头头痛 风寒袭肺浮肿 风热羞明 风邪犯表足热 风湿外袭恶风 热痰阻肺哮鸣 风中经络流涎 表虚风湿腰重 风热壅肺鼻痠 外感风温发热 风热咽痛 外感风寒经行身痛 风热袭肺咳瞅 风寒湿邪壅滞鼻痛
指头疔肿	外感邪毒指头疔肿 脏嘛火毒指头疔肿 火毒瑄结指头疔肿
头皮麻木	痰湿阻络头皮麻木 血虚头皮麻木
面色红	肝阳上亢面色红 风热外袭面色红 虚阳浮越面色红 阴虚内热面色红 肝火上炎面色红 阳明经证面色红 热入营血面色红 外邪客宵呕吐 心经积热舌肿 胃旸实热肥胖
经前面部粉剌	肺热经前面部粉刺 肝经郁火经前面部粉刺 肝经湿热经前面部粉刺
经行身痛	血疲经行身痛 血虚经行身痛 外感风寒经行身痛
妊振腹痛	血虚妊娠腹痛 气虚妊娠腹痛 虚寒妊振腹痛 风寒妊振腹痛 气滞妊娠腹痛
睑弦赤烂	火毒攻目目赤烂 血虚受风睑弦赤烂 湿热偏盛睑弦赤烂 郁火上冲睑弦赤烂 脾虚夹湿睑弦赤烂
脑鸣	心脾两虚脑鸣 髓亏脑鸣 湿热蕴蒸脑鸣 肝气郁滞脑鸣
直肠息肉	湿热下注直肠息肉 寒湿内生直肠息肉
朱砂掌	瘀血阻络红丝赤缕 肝肾阴虚朱砂掌 褒血内阻朱砂掌
头痛	风寒束表咳嗽 痰湿经行头痛 肝胆火炽曈神缩小 疫毒侵袭肺胃丹痧 肝风舌麻 误食中毒顔面红肿 外感风热白睛红赤 外感风寒发热 脾气虚弱视物变形 痰湿阻滞妊娠头痛 风热外袭乳娥 肝气郁结视物变形 肝火上炎白睛溢血 燥热伤肺咽干 寒湿腹搏 火毒上攻囟门凸起 风热犯肺鼻痒 肝火上逆耳衄 风热上攻目偏视 肝阳化风四肢强直 邪毒内陷心肝 肺胃火热颈间生疮 风邪入络上胞下垂 毒热炽盛脱屑 外感风寒经行发热 肝阳上亢经行头痛 风邪袭络顔面抽描 痰湿上逆头目胀痛 风湿妊娠头痛 毒热炽盛杨梅疮 风寒束表啮齿 肝郁气滞经行情志异常 肝火犯胃头目胀痛 肝胆湿热耳胀闷 心肝火旺经前不寐 外感风热水痘 湿热鼻流涕 营卫不和汗出偏沮 肝郁血热腋窝红肿 火毒凝结肩背痈肿 血疲经行头痛 风热妊娠发疹 血热郁肤粟疹 瘀血阻窍嘈睡 胆腑郁热失嗅 外感惊风 风寒欲解鼻衄 外感暑邪发热 风热犯肺白睛溢血 肝阳上扰头痛 热毒壅闭咽肿 痰火扰心善愤 肝阳化风半身不遂 外邪干胃呕吐 湿热蕴蒸颈后生痈 毒邪浸淫萎缩 风寒束表项强 肝胃积热颈间生疮 风热侵犯小儿音哑 热毒攻心谵语 肝胆郁热瞳神干缺 凉燥袭肺恶寒 风热妊娠头痛 肝肾两虚老花眼 寒湿阻络角弓反张 湿热蕴蒸云雾移睛 挤血犯头头痛 风热犯肺恶寒发热 肝胆火热赤膜下垂 风热外侵眼皮眺 风寒咽痛 火毒盖结臀部痈肿 疳热攻肺鼻肿 风热犯头头痛 肝阳上亢妊娠头痛 署湿吐泻 风寒妊娠头痛 风中经络半身不遂 风邪犯表足热 血淤阻肺失嗅 脾虚肝旺妊娠疫厥 脾虚湿阻盗汗 肝风舌颤 毒热蕴滞丹毒 邪毒炽盛产后发热 外感风温发热 风水相搏身重 风寒袭表恶寒发热 外感风寒经行身痛 热毒壅盛妇人腹痛 风热袭肺咳瞅 暑热伤气但热不寒 气滞耻嵌耳聋 风热壅肺鼻痛 外感咳血 风邪中络目偏视 风热上犯痄腮 风寒表实无汗 湿热蕴蒸脑鸣 血虚受风经行目痛 风湿犯头头痛 脾经湿热失嗅 肝胆火热血灌瞳神 外感寒湿舌苔白腻 气血两虚妊娠头痛 湿毒血疲粉刺 脾虚湿热鼻臭 时行疫毒咽喉白腐 暑热惊风 风热鼻塞 热深厥深身热肢寒 太阳伤寒头冷 热毒壅盛鼠蹊肿痛 风邪外袭口眼呙斜 风寒表证口噤 风寒犯头头痛 肝胆湿热耳内流脓 风热喉痒 湿著肌表身重 风热犯肺咽肿 肝胆郁热口苦 燥热伤肺白睛溢血 风热袭肺咽干 湿热郁阻三焦寒热往来 阴虚肝旺妊娠痉厥 热毒侵肺鼻痒 风湿犯表颈项痛 邪入少阳口苦 太阳伤寒腰脊痛 肺经热盛鼻干 火毒炽盛皮肤红线 风寒妊振腹痛 心火赤脉传睛 外感风热经行发热 痰瘀互结痫 风热鼻流涕 寒邪束表面色青 痰浊犯头头痛 撞击外伤白睛溢血 风热伤营红斑 风寒束肺胸闷 风热上扰耳内流脓 下焦血瘀尿痛 肝风内动半身麻木 风寒鼻流涕 风热袭肺耳聋 气滞血褒独语 毒邪流窜杨梅疮 脾气虚头痛 热毒炽盛痄腮 肝阳上亢头目胀痈 班血阻络面具脸 褒血阻滞脱发 风寒腰冷 风热妊娠咳嗽 阴虚火旺头目胀痛 风寒束表红疹 肝风内动手颤 风寒妊娠咳嗽 热毒壅肺鼻肿 肝火偏亢月经过多 实火上炎口颊溃烂 热毒炽盛脓疱 金疮风毒项强 肝风内动目偏视 湿热蕴蒸头重 郁火上冲睑弦赤烂 风痰郁结痰核流注 风寒喉痒 燥热鼻流涕 风寒袭肺喷嚏 毒入血分皮肤红线 风热咽痛 痰火内扰妄想 阴虚阳浮消渴 疟疾寒战 燥邪伤肺鼻干 阴血亏虚头痛 肝胆湿热鼻臭 金创风毒角弓反张 肝胆火盛白睛红赤
声音嘶哑	肺肾阴虚声音嘶哑 热邪犯肺声音嘶哑 肺阴虚咽干 风寒声音嘶哑 风热侵犯小儿音哑 风热声音嘶哑 肺胃蕴热小儿音哑 血瘀痰聚声音嘶哑 肺燥咳嗽
食欲不振	胃寒嘈杂 脾阳虚产后浮肿 肝气郁结舌纵 热结旁流腹泻 气虚黄带 风热湿毒耳痒 胃阴不足食欲不振 肝气郁结视物变形 脾胃虚寒流瘅 脾霣气虚食欲不振 脾气亏耗头倾 气血虚弱闭经 肝郁脾虚腹泻 醇气虚面色蒌黄 寒湿中阻腹满 气血两虚皮肤风疫 气滞湿阻腹露青筋 脾虚湿滞经行浮肿 肝郁脾虚经前乳胀 腑肾阳虚食欲不振 湿热遂阻肛门流脓 脾胃阴虚手足汗出 气滞胎位不正 疳积喜食异物 火毒炽盛皮肤红线 心脾两虚视物变形 脾不统血红斑 肝气犯胃食欲不振 脾胃气虚消瘦 睥虚湿泛妊振肿胀 脾虚腹泻 气不摄血汗血 脾气虚脱形 脾肾阳虚经断前后诸症 气阴两虚反胃 气虛低热 脾气虚食后困顿 肝胃不和恶心 脾气虚头痛 热毒炽盛痄腮 气血两虚便血 脾不统血鼻紐 脾胃虚寒食欲不振 脾阳虚衰舌苔白 气血两虚远视 脾虚肝亢小儿抽动 痰湿内阻言语错乱 湿热蘊结肛裂 湿热郁蒸心中懊侬 伤食食欲不振 痰食凝结腹中痞块 上盛下虚夏季热 虫积消瘦 时发时止大便脓血 湿热郁蒸鼻肿 阳虚津不上承舌干
指（趾）缝湿烂	脾虚湿蕴指（趾）缝湿烂 湿毒浸淫指（趾）缝湿烂 湿热内蕴指（趾）缝湿烂
潮热	阴虚火旺暴盲 暑热伤气潮热 肾精亏虚下肢生疽:多发于儿童及靑年 肾阴虚产后小便频数与失禁 气血亏虚颈后生痈 阴血亏虚多汗 阴虚内热舌红绛 肝肾阴虚朱砂掌 阴虚火旺红斑 心肾不交多梦 脾胃阴虚痞块 阴虚阳亢善疑 阴虚火旺烦躁 阴虚火旺口唇焦裂 疳积脾虚手足心热 心肾不交脏躁 肝肾阴虚经断前后诸症 肝肾阴虚血灌瞳神 阴虚火旺远视 心肾不交梦游 虚热肛漏 阴虚咽痛 心肾不交不寐 肺阴虚消瘦 脾胃湿热白睛生疳 心阴虚火旺心烦 阴虚阳盛经间期出血 肝肾阴虚白睛红赤 热入营分谵语 气阴两虚咽痛 气阴两虚针眼 心血不足盗汗 虚热结聚胚周痈肿 阴虚肺燥咳痰 瘀血内郁潮热 阴虚低热 肝肾阴虚瞳神缩小 阳明热结挤腹痛 脾胃气虚潮热 肝肾阴虚月经过多 阳明瞄实发热 阴虚妊娠咳嗽 阴虚火炎胞内生肉 心阴亏虚不寐 阳明腑实潮热 肝肾阴亏崩中 肾阴欲竭舌光 虫积疳翳 阴虚血热不孕 阴虚血亏潮热 痰气交阻乳房肿块
小儿浮肿	湿热壅盛泮肿 肾阳衮微浮肿 风水相搏浮肿 睥阳不振浮肿
小儿发黄	寒湿发黄 湿热发黄
胞衣不下	气虚胞衣不下 寒凝胞衣不下 血丧胞衣不下
初生不乳	脏有伏寒不乳 胃有秽浊不乳 元气虚弱不乳
产后小便淋痛	下焦湿热产后小便淋痈 阴虚津亏产后小便淋痛 心火亢盛产后小便淋痛
脏躁	肝郁气滞脏躁 痰热郁结脏躁 心肾不交脏躁 阴虚阳充脏燥
善恐	气血两虚善恐 肝胆不足善恐 肾精不足善恐
白带	脾气虚弱月经过多 气虚阴挺 脾湿下注女阴白斑 虚热赤白带 脾气虚白带 湿热白带 相火偏旺性早熟 肝郁湿热赤白带 肾阳虚畏寒 脾虚痰湿性早熟 湿重于热阴肿 肾阳虚白带 湿热菹结经行睃痛 痰湿阻滞不孕 肾气亏虚闭经 脾气虚弱交接出血 瘀血凝滞流产后闭经 气血两虚流产后闭经 痰湿白带 血瘀瘫瘕 贤虚供亏痫 虚寒赤白带 寒湿中阻腹满
腿肿痛	寒湿阻滞腿肿痛 湿热阻痹腰肿痛 瘀血阻络腿肿痛
