身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
筋惕肉哺	阳虚水泛筋惕肉晡 阳虚筋惕肉哺
须发早白	肝肾亏拫须发早白 肝郁气滞须发早白 营血虚热須发早白
产后血崩	气虚产后血崩 血挤产后血崩
神昏	余毒上攻口颊攒烂 内闭外耽神昏 热毒炽盛大便失禁 毒热炽盛蝶形红斑 阴坶阳脱神昏 热盛动风神昏 热毒攻心神昏 暑邪上霣神昏 温热时毒颜面红肿 风热上攻目偏视 热炽营血壮热 热深厥深身热肢寒 阴虚风动神昏 热毒籩结腹部硬满 热毒内陷营血鼻肿 淤血乘心神昏 湿热阻滞面具脸 热入营血暴盲 疮毒内陷寒战 热入营血但热不寒 风疲内闭神昏 阳明腑实潮热 腑热熏蒸神昏 热陷心包舌卷 邪入血分发热 心火亢盛舌衄 热结肠道但热不寒 阳明捬实烦躁 热极或湿热生风四肢抽搐 热入心包舌强 湿热蒙蔽神昏 走马牙疳 胎毒菹结丹毒 肝风舌颤 热陷心包神昏 心火炽盛小便黄赤 阳盛实热舌红绛 邪毒炽盛闭肺内陷《陷逆证》 瘟毒发黄 血瘀产后眩晕 真热假寒恶寒 肝经气绝舌卷 余毒流注鼠溪肿痛 邪毒炽盛产后发疫 疫毒供灼气营丹痧
汗出偏沮	寒湿痹阻汗出偏沮 营卫不和汗出偏沮 气血亏虚汗出偏沮
身痛	风寒袭络半身麻木 风寒束表身痛 风寒束表背冷 外感风寒发热 瘀阻络脉身痛 湿阻膝原舌苔白腻 风寒束表四肢拘急 外邪干胃呕吐 风邪犯肺咳痰 湿著肌表身痛 风寒束表项强 时行疫毒咽喉白腐 毒热蕴滞丹毒 风寒产后发痉 风寒袭表恶寒发热 寒邪束表面色青 风邪犯表产后发热 气滞血褒善疑 血寒凝滞手足厥冷 风寒咽痛 风寒欲解鼻衄 风寒束表舌苔白
顔面抽搐	风邪袭络顔面抽描 肝血亏虚顔面抽搐 肝血郁结颜面抽搐 风痰入络颜面抽搐 肝风内动颜面抽搐
吐蚘	胃热吐蚘 胃寒吐蚘
颜面红肿	风热上扰颜面红肿 温热时毒颜面红肿 误食中毒顔面红肿
舌苔黄	风热痰盛口颊澳烂 肺火上炎鱼胞 脾胃积热流涎 湿热熏蒸头汗 痰火扰心心悸 脾胃湿热手足汗出 湿热发黄 心脾积热啮齿 酒积湿热反胃 温热时毒颜面红肿 胃火呃逆 湿热上犯视瞻昏渺 湿热结单腹胀大 胃热炽盛消瘦 暑湿袭表恶寒发热 湿热下注臁疮 热炽阳明自汗 酒毒内蕴白睛红赤 胃火炽盛舌疮 湿热侵淫痿废 肝经湿热阴茎溃烂 湿热阻痹骨痛 胃热恶心 湿热下注阴痒 肝胆湿热耳胀闷 肝郁血热腋窝红肿 心火炽盛舌纵 脾胃积热多汗 肝经实热目畏热 热入营血红疹 湿热壅遏眼睑丹毒 湿热蕴积黄汗 脾胃积热目畏热 胃肠实热舌苔黄 湿热郁蒸但热不寒 阳明热结挤腹痛 肝胆湿热腋汗 热炽气分口渴 睥胃湿热呕吐 胃热炽盛舌苔黄 痰热蕴肺口臭 痰阻舌麻 伤食腹泻 湿热蕴结四肢肿胀 胃热呕吐 署湿吐泻 湿热阻滞下肢生疽 湿热蘊结肛裂 拖接初期恶寒 湿热阻络红斑 胃肠湿热蕴毒便血 湿热雄结便难 湿热郁阻白痏 胃肠实热政满 下焦湿热血精 脾经湿热鼻痒 湿热龜结研腹痛 脾肺积热赤膜下垂 风湿夹热瞳神缩小 湿热郁蒸鼻肿 署湿籩结肩背痈肿 肝火上炎舌衄 胃热嘈杂 毒热炽盛水痘 肝胆湿热胁痛 湿热腹泻 热结旁流腹泻 肺热津伤瘘废 风热湿毒耳痒 脾经湿热失嗅 肺胃热盛鼻痛 痰热阻肺顿咳 湿热郁结痰核流注 燥火内结肛裂 胃肠湿热大便胺血 胃火挟风口唇颤动 热毒壅盛鼠蹊肿痛 肝胆湿热耳内流脓 湿热阻瘅摊疾 湿热阴挺 热结肠道但热不寒 饮食积滞吞酸 痰浊阻肺口唇青紫 胃热吐蚘 阳明腑实产后大便难 余毒流注鼠溪肿痛 湿热里急后重 表寒里热气喘 胃火燔龈牙痛 湿热壅滞舌苔黄 风热挟湿红疹 痰火扰心妄听妄视 湿热蕴结缺盆溃烂 肝胆湿热阴疮 疫留气分欲解战汗 火毒凝滞腋窝红肿 津气亏虚白痏 热重于湿阴肿 肝经湿热女阴白斑 脾胃湿热胬肉 寒热错杂哮鸣 湿热下注胫痠 湿热郁蒸心中懊侬 湿热蕴蒸头重 胎毒菹结丹毒 毒热炽盛丹毒 脾胃湿热脐漏 热盛动风啮齿 痰火口唇红肿 靑腿牙疳 湿热内苔皮肤褐斑
